
===================================
PATCH SIZE: 4 | AGG: max
===================================
Training:  52%|████████████████████████████████▌                              | 31/60 [03:05<02:52,  5.96s/it]
Epoch 1/60 | Train Acc: 0.1028 | Test Acc: 0.1155
Epoch 2/60 | Train Acc: 0.1559 | Test Acc: 0.1650
Epoch 3/60 | Train Acc: 0.1659 | Test Acc: 0.1777
Epoch 4/60 | Train Acc: 0.1797 | Test Acc: 0.1786
Epoch 5/60 | Train Acc: 0.1860 | Test Acc: 0.1891
Epoch 6/60 | Train Acc: 0.1921 | Test Acc: 0.1968
Epoch 7/60 | Train Acc: 0.1866 | Test Acc: 0.1845
Epoch 8/60 | Train Acc: 0.1898 | Test Acc: 0.1800
Epoch 9/60 | Train Acc: 0.1936 | Test Acc: 0.1859
Epoch 10/60 | Train Acc: 0.1994 | Test Acc: 0.1823
Epoch 11/60 | Train Acc: 0.1982 | Test Acc: 0.1877
Epoch 12/60 | Train Acc: 0.2017 | Test Acc: 0.1995
Epoch 13/60 | Train Acc: 0.2032 | Test Acc: 0.1895
Epoch 14/60 | Train Acc: 0.2049 | Test Acc: 0.2086
Epoch 15/60 | Train Acc: 0.2054 | Test Acc: 0.2000
Epoch 16/60 | Train Acc: 0.2014 | Test Acc: 0.2118
Epoch 17/60 | Train Acc: 0.2100 | Test Acc: 0.2068
Epoch 18/60 | Train Acc: 0.2121 | Test Acc: 0.2150
Epoch 19/60 | Train Acc: 0.2152 | Test Acc: 0.1986
Epoch 20/60 | Train Acc: 0.2092 | Test Acc: 0.2150
Epoch 21/60 | Train Acc: 0.2154 | Test Acc: 0.2027
Epoch 22/60 | Train Acc: 0.2137 | Test Acc: 0.2014
Epoch 23/60 | Train Acc: 0.2170 | Test Acc: 0.2100
Epoch 24/60 | Train Acc: 0.2187 | Test Acc: 0.2145
Epoch 25/60 | Train Acc: 0.2180 | Test Acc: 0.2186
Epoch 26/60 | Train Acc: 0.2226 | Test Acc: 0.2118
Epoch 27/60 | Train Acc: 0.2195 | Test Acc: 0.2086
Epoch 28/60 | Train Acc: 0.2261 | Test Acc: 0.2232
Epoch 29/60 | Train Acc: 0.2186 | Test Acc: 0.2064
Epoch 30/60 | Train Acc: 0.2285 | Test Acc: 0.2205
Epoch 31/60 | Train Acc: 0.2247 | Test Acc: 0.2182
Epoch 32/60 | Train Acc: 0.2246 | Test Acc: 0.2136
Epoch 33/60 | Train Acc: 0.2244 | Test Acc: 0.2314
Epoch 34/60 | Train Acc: 0.2315 | Test Acc: 0.2132
Epoch 35/60 | Train Acc: 0.2299 | Test Acc: 0.2268
Epoch 36/60 | Train Acc: 0.2344 | Test Acc: 0.2077
Epoch 37/60 | Train Acc: 0.2343 | Test Acc: 0.2291
Epoch 38/60 | Train Acc: 0.2314 | Test Acc: 0.2277
Epoch 39/60 | Train Acc: 0.2395 | Test Acc: 0.2182
Epoch 40/60 | Train Acc: 0.2385 | Test Acc: 0.2127
Epoch 41/60 | Train Acc: 0.2320 | Test Acc: 0.2273
Epoch 42/60 | Train Acc: 0.2429 | Test Acc: 0.2177
Epoch 43/60 | Train Acc: 0.2330 | Test Acc: 0.2164
Epoch 44/60 | Train Acc: 0.2324 | Test Acc: 0.2232
Epoch 45/60 | Train Acc: 0.2353 | Test Acc: 0.2209
Epoch 46/60 | Train Acc: 0.2366 | Test Acc: 0.2291
Epoch 47/60 | Train Acc: 0.2430 | Test Acc: 0.2168
Epoch 48/60 | Train Acc: 0.2397 | Test Acc: 0.2223
Epoch 49/60 | Train Acc: 0.2366 | Test Acc: 0.2236
Epoch 50/60 | Train Acc: 0.2440 | Test Acc: 0.2195
Epoch 51/60 | Train Acc: 0.2423 | Test Acc: 0.2191
Epoch 52/60 | Train Acc: 0.2426 | Test Acc: 0.2309
Epoch 53/60 | Train Acc: 0.2392 | Test Acc: 0.2109
Epoch 54/60 | Train Acc: 0.2422 | Test Acc: 0.2168
Epoch 55/60 | Train Acc: 0.2457 | Test Acc: 0.2295
Epoch 56/60 | Train Acc: 0.2443 | Test Acc: 0.2264
Epoch 57/60 | Train Acc: 0.2500 | Test Acc: 0.2277
Epoch 58/60 | Train Acc: 0.2453 | Test Acc: 0.2227
Epoch 59/60 | Train Acc: 0.2428 | Test Acc: 0.2209
Epoch 60/60 | Train Acc: 0.2448 | Test Acc: 0.2255
BEST TEST ACC: 0.2314
