
===================================
PATCH SIZE: 8 | AGG: mean
===================================
Training:  52%|████████████████████████████████▌                              | 31/60 [02:53<02:43,  5.63s/it]
Epoch 1/60 | Train Acc: 0.1330 | Test Acc: 0.1614
Epoch 2/60 | Train Acc: 0.1707 | Test Acc: 0.1582
Epoch 3/60 | Train Acc: 0.1836 | Test Acc: 0.1886
Epoch 4/60 | Train Acc: 0.2007 | Test Acc: 0.2150
Epoch 5/60 | Train Acc: 0.2149 | Test Acc: 0.2145
Epoch 6/60 | Train Acc: 0.2211 | Test Acc: 0.2068
Epoch 7/60 | Train Acc: 0.2210 | Test Acc: 0.2300
Epoch 8/60 | Train Acc: 0.2289 | Test Acc: 0.2405
Epoch 9/60 | Train Acc: 0.2360 | Test Acc: 0.2309
Epoch 10/60 | Train Acc: 0.2438 | Test Acc: 0.2436
Epoch 11/60 | Train Acc: 0.2475 | Test Acc: 0.2541
Epoch 12/60 | Train Acc: 0.2480 | Test Acc: 0.2568
Epoch 13/60 | Train Acc: 0.2545 | Test Acc: 0.2450
Epoch 14/60 | Train Acc: 0.2609 | Test Acc: 0.2682
Epoch 15/60 | Train Acc: 0.2591 | Test Acc: 0.2623
Epoch 16/60 | Train Acc: 0.2714 | Test Acc: 0.2755
Epoch 17/60 | Train Acc: 0.2622 | Test Acc: 0.2691
Epoch 18/60 | Train Acc: 0.2689 | Test Acc: 0.2650
Epoch 19/60 | Train Acc: 0.2680 | Test Acc: 0.2609
Epoch 20/60 | Train Acc: 0.2656 | Test Acc: 0.2600
Epoch 21/60 | Train Acc: 0.2708 | Test Acc: 0.2777
Epoch 22/60 | Train Acc: 0.2743 | Test Acc: 0.2809
Epoch 23/60 | Train Acc: 0.2816 | Test Acc: 0.2609
Epoch 24/60 | Train Acc: 0.2792 | Test Acc: 0.2718
Epoch 25/60 | Train Acc: 0.2806 | Test Acc: 0.2845
Epoch 26/60 | Train Acc: 0.2851 | Test Acc: 0.2832
Epoch 27/60 | Train Acc: 0.2832 | Test Acc: 0.2800
Epoch 28/60 | Train Acc: 0.2929 | Test Acc: 0.2886
Epoch 29/60 | Train Acc: 0.2905 | Test Acc: 0.2755
Epoch 30/60 | Train Acc: 0.2932 | Test Acc: 0.2845
Epoch 31/60 | Train Acc: 0.2954 | Test Acc: 0.2877
Epoch 32/60 | Train Acc: 0.2938 | Test Acc: 0.2927
Epoch 33/60 | Train Acc: 0.2924 | Test Acc: 0.2895
Epoch 34/60 | Train Acc: 0.2948 | Test Acc: 0.2759
Epoch 35/60 | Train Acc: 0.2938 | Test Acc: 0.2968
Epoch 36/60 | Train Acc: 0.2979 | Test Acc: 0.2955
Epoch 37/60 | Train Acc: 0.2997 | Test Acc: 0.3041
Epoch 38/60 | Train Acc: 0.3029 | Test Acc: 0.2995
Epoch 39/60 | Train Acc: 0.3070 | Test Acc: 0.2827
Epoch 40/60 | Train Acc: 0.3018 | Test Acc: 0.2955
Epoch 41/60 | Train Acc: 0.3082 | Test Acc: 0.2927
Epoch 42/60 | Train Acc: 0.3093 | Test Acc: 0.3000
Epoch 43/60 | Train Acc: 0.3070 | Test Acc: 0.3014
Epoch 44/60 | Train Acc: 0.3147 | Test Acc: 0.2982
Epoch 45/60 | Train Acc: 0.3118 | Test Acc: 0.2991
Epoch 46/60 | Train Acc: 0.3064 | Test Acc: 0.3036
Epoch 47/60 | Train Acc: 0.3197 | Test Acc: 0.3136
Epoch 48/60 | Train Acc: 0.3174 | Test Acc: 0.3018
Epoch 49/60 | Train Acc: 0.3256 | Test Acc: 0.2977
Epoch 50/60 | Train Acc: 0.3234 | Test Acc: 0.3155
Epoch 51/60 | Train Acc: 0.3311 | Test Acc: 0.3036
Epoch 52/60 | Train Acc: 0.3228 | Test Acc: 0.3109
Epoch 53/60 | Train Acc: 0.3184 | Test Acc: 0.3041
Epoch 54/60 | Train Acc: 0.3183 | Test Acc: 0.3141
Epoch 55/60 | Train Acc: 0.3266 | Test Acc: 0.3114
Epoch 56/60 | Train Acc: 0.3243 | Test Acc: 0.3127
Epoch 57/60 | Train Acc: 0.3201 | Test Acc: 0.3109
Epoch 58/60 | Train Acc: 0.3233 | Test Acc: 0.3114
Epoch 59/60 | Train Acc: 0.3272 | Test Acc: 0.3095
Epoch 60/60 | Train Acc: 0.3302 | Test Acc: 0.3191
BEST TEST ACC: 0.3191
