
===================================
PATCH SIZE: 8 | AGG: max
===================================
Training:  52%|████████████████████████████████▌                              | 31/60 [02:52<02:41,  5.58s/it]
Epoch 1/60 | Train Acc: 0.1109 | Test Acc: 0.1482
Epoch 2/60 | Train Acc: 0.1528 | Test Acc: 0.1545
Epoch 3/60 | Train Acc: 0.1729 | Test Acc: 0.1632
Epoch 4/60 | Train Acc: 0.1839 | Test Acc: 0.1700
Epoch 5/60 | Train Acc: 0.1847 | Test Acc: 0.1768
Epoch 6/60 | Train Acc: 0.1870 | Test Acc: 0.1750
Epoch 7/60 | Train Acc: 0.1926 | Test Acc: 0.1864
Epoch 8/60 | Train Acc: 0.1946 | Test Acc: 0.1832
Epoch 9/60 | Train Acc: 0.1945 | Test Acc: 0.1850
Epoch 10/60 | Train Acc: 0.1920 | Test Acc: 0.1886
Epoch 11/60 | Train Acc: 0.2002 | Test Acc: 0.1836
Epoch 12/60 | Train Acc: 0.2055 | Test Acc: 0.1773
Epoch 13/60 | Train Acc: 0.2026 | Test Acc: 0.1873
Epoch 14/60 | Train Acc: 0.2041 | Test Acc: 0.1895
Epoch 15/60 | Train Acc: 0.2091 | Test Acc: 0.1936
Epoch 16/60 | Train Acc: 0.2105 | Test Acc: 0.1850
Epoch 17/60 | Train Acc: 0.2072 | Test Acc: 0.1877
Epoch 18/60 | Train Acc: 0.2117 | Test Acc: 0.1773
Epoch 19/60 | Train Acc: 0.2134 | Test Acc: 0.1991
Epoch 20/60 | Train Acc: 0.2155 | Test Acc: 0.2086
Epoch 21/60 | Train Acc: 0.2160 | Test Acc: 0.2036
Epoch 22/60 | Train Acc: 0.2190 | Test Acc: 0.2059
Epoch 23/60 | Train Acc: 0.2199 | Test Acc: 0.1868
Epoch 24/60 | Train Acc: 0.2177 | Test Acc: 0.2041
Epoch 25/60 | Train Acc: 0.2202 | Test Acc: 0.2095
Epoch 26/60 | Train Acc: 0.2229 | Test Acc: 0.2200
Epoch 27/60 | Train Acc: 0.2230 | Test Acc: 0.2191
Epoch 28/60 | Train Acc: 0.2224 | Test Acc: 0.2132
Epoch 29/60 | Train Acc: 0.2289 | Test Acc: 0.2191
Epoch 30/60 | Train Acc: 0.2343 | Test Acc: 0.2109
Epoch 31/60 | Train Acc: 0.2360 | Test Acc: 0.2050
Epoch 32/60 | Train Acc: 0.2295 | Test Acc: 0.2159
Epoch 33/60 | Train Acc: 0.2314 | Test Acc: 0.2314
Epoch 34/60 | Train Acc: 0.2332 | Test Acc: 0.2318
Epoch 35/60 | Train Acc: 0.2380 | Test Acc: 0.2273
Epoch 36/60 | Train Acc: 0.2408 | Test Acc: 0.2259
Epoch 37/60 | Train Acc: 0.2363 | Test Acc: 0.2214
Epoch 38/60 | Train Acc: 0.2417 | Test Acc: 0.2282
Epoch 39/60 | Train Acc: 0.2421 | Test Acc: 0.2350
Epoch 40/60 | Train Acc: 0.2443 | Test Acc: 0.2291
Epoch 41/60 | Train Acc: 0.2489 | Test Acc: 0.2114
Epoch 42/60 | Train Acc: 0.2491 | Test Acc: 0.2182
Epoch 43/60 | Train Acc: 0.2472 | Test Acc: 0.2259
Epoch 44/60 | Train Acc: 0.2499 | Test Acc: 0.2186
Epoch 45/60 | Train Acc: 0.2508 | Test Acc: 0.2309
Epoch 46/60 | Train Acc: 0.2537 | Test Acc: 0.2273
Epoch 47/60 | Train Acc: 0.2557 | Test Acc: 0.2141
Epoch 48/60 | Train Acc: 0.2515 | Test Acc: 0.2086
Epoch 49/60 | Train Acc: 0.2553 | Test Acc: 0.2300
Epoch 50/60 | Train Acc: 0.2586 | Test Acc: 0.2168
Epoch 51/60 | Train Acc: 0.2507 | Test Acc: 0.2327
Epoch 52/60 | Train Acc: 0.2598 | Test Acc: 0.2264
Epoch 53/60 | Train Acc: 0.2615 | Test Acc: 0.2332
Epoch 54/60 | Train Acc: 0.2702 | Test Acc: 0.2286
Epoch 55/60 | Train Acc: 0.2687 | Test Acc: 0.2286
Epoch 56/60 | Train Acc: 0.2713 | Test Acc: 0.2259
Epoch 57/60 | Train Acc: 0.2722 | Test Acc: 0.2318
Epoch 58/60 | Train Acc: 0.2677 | Test Acc: 0.2245
Epoch 59/60 | Train Acc: 0.2669 | Test Acc: 0.2177
Epoch 60/60 | Train Acc: 0.2732 | Test Acc: 0.2332
BEST TEST ACC: 0.2350
