
===================================
PATCH SIZE: 16 | AGG: mean
===================================
Training:  52%|████████████████████████████████▌                              | 31/60 [03:03<02:42,  5.61s/it]
Epoch 1/60 | Train Acc: 0.1154 | Test Acc: 0.1386
Epoch 2/60 | Train Acc: 0.1590 | Test Acc: 0.1550
Epoch 3/60 | Train Acc: 0.1802 | Test Acc: 0.1695
Epoch 4/60 | Train Acc: 0.1801 | Test Acc: 0.2077
Epoch 5/60 | Train Acc: 0.2097 | Test Acc: 0.2177
Epoch 6/60 | Train Acc: 0.2138 | Test Acc: 0.2086
Epoch 7/60 | Train Acc: 0.2205 | Test Acc: 0.2136
Epoch 8/60 | Train Acc: 0.2198 | Test Acc: 0.2136
Epoch 9/60 | Train Acc: 0.2246 | Test Acc: 0.2373
Epoch 10/60 | Train Acc: 0.2369 | Test Acc: 0.2355
Epoch 11/60 | Train Acc: 0.2386 | Test Acc: 0.2355
Epoch 12/60 | Train Acc: 0.2387 | Test Acc: 0.2577
Epoch 13/60 | Train Acc: 0.2452 | Test Acc: 0.2405
Epoch 14/60 | Train Acc: 0.2556 | Test Acc: 0.2427
Epoch 15/60 | Train Acc: 0.2505 | Test Acc: 0.2623
Epoch 16/60 | Train Acc: 0.2561 | Test Acc: 0.2609
Epoch 17/60 | Train Acc: 0.2639 | Test Acc: 0.2536
Epoch 18/60 | Train Acc: 0.2675 | Test Acc: 0.2709
Epoch 19/60 | Train Acc: 0.2739 | Test Acc: 0.2673
Epoch 20/60 | Train Acc: 0.2624 | Test Acc: 0.2627
Epoch 21/60 | Train Acc: 0.2725 | Test Acc: 0.2555
Epoch 22/60 | Train Acc: 0.2741 | Test Acc: 0.2741
Epoch 23/60 | Train Acc: 0.2821 | Test Acc: 0.2645
Epoch 24/60 | Train Acc: 0.2874 | Test Acc: 0.2859
Epoch 25/60 | Train Acc: 0.2825 | Test Acc: 0.2709
Epoch 26/60 | Train Acc: 0.2909 | Test Acc: 0.2805
Epoch 27/60 | Train Acc: 0.2872 | Test Acc: 0.2568
Epoch 28/60 | Train Acc: 0.2877 | Test Acc: 0.2886
Epoch 29/60 | Train Acc: 0.2891 | Test Acc: 0.2809
Epoch 30/60 | Train Acc: 0.2931 | Test Acc: 0.2850
Epoch 31/60 | Train Acc: 0.2891 | Test Acc: 0.2864
Epoch 32/60 | Train Acc: 0.2989 | Test Acc: 0.2855
Epoch 33/60 | Train Acc: 0.2918 | Test Acc: 0.2877
Epoch 34/60 | Train Acc: 0.2882 | Test Acc: 0.2877
Epoch 35/60 | Train Acc: 0.2978 | Test Acc: 0.3055
Epoch 36/60 | Train Acc: 0.2951 | Test Acc: 0.2773
Epoch 37/60 | Train Acc: 0.2999 | Test Acc: 0.2923
Epoch 38/60 | Train Acc: 0.3071 | Test Acc: 0.2927
Epoch 39/60 | Train Acc: 0.3098 | Test Acc: 0.2923
Epoch 40/60 | Train Acc: 0.3060 | Test Acc: 0.3059
Epoch 41/60 | Train Acc: 0.3041 | Test Acc: 0.2950
Epoch 42/60 | Train Acc: 0.3037 | Test Acc: 0.2918
Epoch 43/60 | Train Acc: 0.3039 | Test Acc: 0.3186
Epoch 44/60 | Train Acc: 0.3077 | Test Acc: 0.3055
Epoch 45/60 | Train Acc: 0.3194 | Test Acc: 0.3168
Epoch 46/60 | Train Acc: 0.3161 | Test Acc: 0.3023
Epoch 47/60 | Train Acc: 0.3128 | Test Acc: 0.3027
Epoch 48/60 | Train Acc: 0.3128 | Test Acc: 0.3055
Epoch 49/60 | Train Acc: 0.3120 | Test Acc: 0.2914
Epoch 50/60 | Train Acc: 0.3186 | Test Acc: 0.2964
Epoch 51/60 | Train Acc: 0.3184 | Test Acc: 0.3173
Epoch 52/60 | Train Acc: 0.3176 | Test Acc: 0.3145
Epoch 53/60 | Train Acc: 0.3208 | Test Acc: 0.3123
Epoch 54/60 | Train Acc: 0.3192 | Test Acc: 0.3214
Epoch 55/60 | Train Acc: 0.3184 | Test Acc: 0.3100
Epoch 56/60 | Train Acc: 0.3208 | Test Acc: 0.3245
Epoch 57/60 | Train Acc: 0.3229 | Test Acc: 0.3223
Epoch 58/60 | Train Acc: 0.3249 | Test Acc: 0.3191
Epoch 59/60 | Train Acc: 0.3270 | Test Acc: 0.3259
Epoch 60/60 | Train Acc: 0.3270 | Test Acc: 0.3205
BEST TEST ACC: 0.3259
