
===================================
PATCH SIZE: 32 | AGG: mean
===================================
Training:  52%|████████████████████████████████▌                              | 31/60 [02:52<02:40,  5.52s/it]
Epoch 1/60 | Train Acc: 0.1128 | Test Acc: 0.1282
Epoch 2/60 | Train Acc: 0.1591 | Test Acc: 0.1536
Epoch 3/60 | Train Acc: 0.1782 | Test Acc: 0.1786
Epoch 4/60 | Train Acc: 0.1852 | Test Acc: 0.1995
Epoch 5/60 | Train Acc: 0.1987 | Test Acc: 0.1891
Epoch 6/60 | Train Acc: 0.2146 | Test Acc: 0.2291
Epoch 7/60 | Train Acc: 0.2168 | Test Acc: 0.2150
Epoch 8/60 | Train Acc: 0.2164 | Test Acc: 0.2082
Epoch 9/60 | Train Acc: 0.2339 | Test Acc: 0.2309
Epoch 10/60 | Train Acc: 0.2384 | Test Acc: 0.2368
Epoch 11/60 | Train Acc: 0.2464 | Test Acc: 0.2614
Epoch 12/60 | Train Acc: 0.2489 | Test Acc: 0.2464
Epoch 13/60 | Train Acc: 0.2490 | Test Acc: 0.2473
Epoch 14/60 | Train Acc: 0.2575 | Test Acc: 0.2664
Epoch 15/60 | Train Acc: 0.2630 | Test Acc: 0.2582
Epoch 16/60 | Train Acc: 0.2579 | Test Acc: 0.2591
Epoch 17/60 | Train Acc: 0.2620 | Test Acc: 0.2650
Epoch 18/60 | Train Acc: 0.2637 | Test Acc: 0.2673
Epoch 19/60 | Train Acc: 0.2655 | Test Acc: 0.2677
Epoch 20/60 | Train Acc: 0.2693 | Test Acc: 0.2650
Epoch 21/60 | Train Acc: 0.2676 | Test Acc: 0.2750
Epoch 22/60 | Train Acc: 0.2707 | Test Acc: 0.2677
Epoch 23/60 | Train Acc: 0.2790 | Test Acc: 0.2736
Epoch 24/60 | Train Acc: 0.2753 | Test Acc: 0.2691
Epoch 25/60 | Train Acc: 0.2760 | Test Acc: 0.2795
Epoch 26/60 | Train Acc: 0.2741 | Test Acc: 0.2791
Epoch 27/60 | Train Acc: 0.2802 | Test Acc: 0.2714
Epoch 28/60 | Train Acc: 0.2808 | Test Acc: 0.2782
Epoch 29/60 | Train Acc: 0.2754 | Test Acc: 0.2877
Epoch 30/60 | Train Acc: 0.2910 | Test Acc: 0.2764
Epoch 31/60 | Train Acc: 0.2908 | Test Acc: 0.2827
Epoch 32/60 | Train Acc: 0.2943 | Test Acc: 0.2850
Epoch 33/60 | Train Acc: 0.2913 | Test Acc: 0.2695
Epoch 34/60 | Train Acc: 0.2906 | Test Acc: 0.2723
Epoch 35/60 | Train Acc: 0.2832 | Test Acc: 0.2909
Epoch 36/60 | Train Acc: 0.2938 | Test Acc: 0.2905
Epoch 37/60 | Train Acc: 0.2995 | Test Acc: 0.2932
Epoch 38/60 | Train Acc: 0.3025 | Test Acc: 0.2941
Epoch 39/60 | Train Acc: 0.3047 | Test Acc: 0.3041
Epoch 40/60 | Train Acc: 0.3047 | Test Acc: 0.2818
Epoch 41/60 | Train Acc: 0.3040 | Test Acc: 0.2932
Epoch 42/60 | Train Acc: 0.2967 | Test Acc: 0.2882
Epoch 43/60 | Train Acc: 0.3030 | Test Acc: 0.2886
Epoch 44/60 | Train Acc: 0.3030 | Test Acc: 0.2832
Epoch 45/60 | Train Acc: 0.3051 | Test Acc: 0.2945
Epoch 46/60 | Train Acc: 0.3044 | Test Acc: 0.2982
Epoch 47/60 | Train Acc: 0.3157 | Test Acc: 0.2936
Epoch 48/60 | Train Acc: 0.3154 | Test Acc: 0.3036
Epoch 49/60 | Train Acc: 0.3200 | Test Acc: 0.2827
Epoch 50/60 | Train Acc: 0.3169 | Test Acc: 0.2918
Epoch 51/60 | Train Acc: 0.3202 | Test Acc: 0.3000
Epoch 52/60 | Train Acc: 0.3140 | Test Acc: 0.2932
Epoch 53/60 | Train Acc: 0.3238 | Test Acc: 0.3059
Epoch 54/60 | Train Acc: 0.3295 | Test Acc: 0.3036
Epoch 55/60 | Train Acc: 0.3274 | Test Acc: 0.3000
Epoch 56/60 | Train Acc: 0.3284 | Test Acc: 0.2936
Epoch 57/60 | Train Acc: 0.3325 | Test Acc: 0.3036
Epoch 58/60 | Train Acc: 0.3379 | Test Acc: 0.2886
Epoch 59/60 | Train Acc: 0.3216 | Test Acc: 0.3023
Epoch 60/60 | Train Acc: 0.3351 | Test Acc: 0.3018
BEST TEST ACC: 0.3059
