
===================================
PATCH SIZE: 32 | AGG: max
===================================
Training:  52%|████████████████████████████████▌                              | 31/60 [02:52<02:42,  5.59s/it]
Epoch 1/60 | Train Acc: 0.1002 | Test Acc: 0.1164
Epoch 2/60 | Train Acc: 0.1166 | Test Acc: 0.1545
Epoch 3/60 | Train Acc: 0.1539 | Test Acc: 0.1482
Epoch 4/60 | Train Acc: 0.1703 | Test Acc: 0.1818
Epoch 5/60 | Train Acc: 0.1889 | Test Acc: 0.1805
Epoch 6/60 | Train Acc: 0.1907 | Test Acc: 0.2027
Epoch 7/60 | Train Acc: 0.2020 | Test Acc: 0.2009
Epoch 8/60 | Train Acc: 0.2040 | Test Acc: 0.2014
Epoch 9/60 | Train Acc: 0.2169 | Test Acc: 0.1955
Epoch 10/60 | Train Acc: 0.2164 | Test Acc: 0.2091
Epoch 11/60 | Train Acc: 0.2134 | Test Acc: 0.2114
Epoch 12/60 | Train Acc: 0.2141 | Test Acc: 0.1968
Epoch 13/60 | Train Acc: 0.2200 | Test Acc: 0.2218
Epoch 14/60 | Train Acc: 0.2214 | Test Acc: 0.2191
Epoch 15/60 | Train Acc: 0.2167 | Test Acc: 0.2068
Epoch 16/60 | Train Acc: 0.2257 | Test Acc: 0.2036
Epoch 17/60 | Train Acc: 0.2245 | Test Acc: 0.2109
Epoch 18/60 | Train Acc: 0.2321 | Test Acc: 0.2168
Epoch 19/60 | Train Acc: 0.2344 | Test Acc: 0.2005
Epoch 20/60 | Train Acc: 0.2405 | Test Acc: 0.2132
Epoch 21/60 | Train Acc: 0.2402 | Test Acc: 0.2245
Epoch 22/60 | Train Acc: 0.2449 | Test Acc: 0.2236
Epoch 23/60 | Train Acc: 0.2423 | Test Acc: 0.2200
Epoch 24/60 | Train Acc: 0.2499 | Test Acc: 0.2186
Epoch 25/60 | Train Acc: 0.2441 | Test Acc: 0.2241
Epoch 26/60 | Train Acc: 0.2433 | Test Acc: 0.2259
Epoch 27/60 | Train Acc: 0.2537 | Test Acc: 0.2136
Epoch 28/60 | Train Acc: 0.2584 | Test Acc: 0.2132
Epoch 29/60 | Train Acc: 0.2590 | Test Acc: 0.2232
Epoch 30/60 | Train Acc: 0.2613 | Test Acc: 0.2214
Epoch 31/60 | Train Acc: 0.2633 | Test Acc: 0.2295
Epoch 32/60 | Train Acc: 0.2641 | Test Acc: 0.2105
Epoch 33/60 | Train Acc: 0.2709 | Test Acc: 0.2141
Epoch 34/60 | Train Acc: 0.2732 | Test Acc: 0.2255
Epoch 35/60 | Train Acc: 0.2716 | Test Acc: 0.2218
Epoch 36/60 | Train Acc: 0.2764 | Test Acc: 0.2309
Epoch 37/60 | Train Acc: 0.2806 | Test Acc: 0.2082
Epoch 38/60 | Train Acc: 0.2834 | Test Acc: 0.2164
Epoch 39/60 | Train Acc: 0.2826 | Test Acc: 0.2123
Epoch 40/60 | Train Acc: 0.2809 | Test Acc: 0.2332
Epoch 41/60 | Train Acc: 0.2820 | Test Acc: 0.2250
Epoch 42/60 | Train Acc: 0.2910 | Test Acc: 0.2268
Epoch 43/60 | Train Acc: 0.2994 | Test Acc: 0.2309
Epoch 44/60 | Train Acc: 0.3021 | Test Acc: 0.2150
Epoch 45/60 | Train Acc: 0.2995 | Test Acc: 0.2223
Epoch 46/60 | Train Acc: 0.3068 | Test Acc: 0.2236
Epoch 47/60 | Train Acc: 0.3017 | Test Acc: 0.2205
Epoch 48/60 | Train Acc: 0.3117 | Test Acc: 0.2264
Epoch 49/60 | Train Acc: 0.3190 | Test Acc: 0.2209
Epoch 50/60 | Train Acc: 0.3183 | Test Acc: 0.2355
Epoch 51/60 | Train Acc: 0.3124 | Test Acc: 0.2123
Epoch 52/60 | Train Acc: 0.3193 | Test Acc: 0.2373
Epoch 53/60 | Train Acc: 0.3226 | Test Acc: 0.2268
Epoch 54/60 | Train Acc: 0.3241 | Test Acc: 0.2191
Epoch 55/60 | Train Acc: 0.3223 | Test Acc: 0.2205
Epoch 56/60 | Train Acc: 0.3253 | Test Acc: 0.2227
Epoch 57/60 | Train Acc: 0.3314 | Test Acc: 0.2255
Epoch 58/60 | Train Acc: 0.3470 | Test Acc: 0.2223
Epoch 59/60 | Train Acc: 0.3464 | Test Acc: 0.2209
Epoch 60/60 | Train Acc: 0.3464 | Test Acc: 0.2291
BEST TEST ACC: 0.2373
