
===================================
PATCH SIZE: 64 | AGG: mean
===================================
Training:  52%|████████████████████████████████▌                              | 31/60 [02:52<02:41,  5.56s/it]
Epoch 1/60 | Train Acc: 0.1102 | Test Acc: 0.1282
Epoch 2/60 | Train Acc: 0.1547 | Test Acc: 0.1623
Epoch 3/60 | Train Acc: 0.1782 | Test Acc: 0.1668
Epoch 4/60 | Train Acc: 0.1860 | Test Acc: 0.1745
Epoch 5/60 | Train Acc: 0.1943 | Test Acc: 0.2155
Epoch 6/60 | Train Acc: 0.2105 | Test Acc: 0.2059
Epoch 7/60 | Train Acc: 0.2256 | Test Acc: 0.2177
Epoch 8/60 | Train Acc: 0.2372 | Test Acc: 0.2123
Epoch 9/60 | Train Acc: 0.2436 | Test Acc: 0.2227
Epoch 10/60 | Train Acc: 0.2347 | Test Acc: 0.2282
Epoch 11/60 | Train Acc: 0.2414 | Test Acc: 0.2382
Epoch 12/60 | Train Acc: 0.2530 | Test Acc: 0.2414
Epoch 13/60 | Train Acc: 0.2513 | Test Acc: 0.2368
Epoch 14/60 | Train Acc: 0.2580 | Test Acc: 0.2300
Epoch 15/60 | Train Acc: 0.2554 | Test Acc: 0.2509
Epoch 16/60 | Train Acc: 0.2643 | Test Acc: 0.2468
Epoch 17/60 | Train Acc: 0.2683 | Test Acc: 0.2468
Epoch 18/60 | Train Acc: 0.2721 | Test Acc: 0.2527
Epoch 19/60 | Train Acc: 0.2691 | Test Acc: 0.2427
Epoch 20/60 | Train Acc: 0.2707 | Test Acc: 0.2418
Epoch 21/60 | Train Acc: 0.2646 | Test Acc: 0.2459
Epoch 22/60 | Train Acc: 0.2670 | Test Acc: 0.2541
Epoch 23/60 | Train Acc: 0.2795 | Test Acc: 0.2564
Epoch 24/60 | Train Acc: 0.2906 | Test Acc: 0.2555
Epoch 25/60 | Train Acc: 0.2868 | Test Acc: 0.2700
Epoch 26/60 | Train Acc: 0.2908 | Test Acc: 0.2732
Epoch 27/60 | Train Acc: 0.2937 | Test Acc: 0.2745
Epoch 28/60 | Train Acc: 0.3030 | Test Acc: 0.2595
Epoch 29/60 | Train Acc: 0.2983 | Test Acc: 0.2664
Epoch 30/60 | Train Acc: 0.3062 | Test Acc: 0.2718
Epoch 31/60 | Train Acc: 0.3055 | Test Acc: 0.2605
Epoch 32/60 | Train Acc: 0.3061 | Test Acc: 0.2750
Epoch 33/60 | Train Acc: 0.3093 | Test Acc: 0.2759
Epoch 34/60 | Train Acc: 0.3106 | Test Acc: 0.2759
Epoch 35/60 | Train Acc: 0.3129 | Test Acc: 0.2755
Epoch 36/60 | Train Acc: 0.3129 | Test Acc: 0.2700
Epoch 37/60 | Train Acc: 0.3132 | Test Acc: 0.2773
Epoch 38/60 | Train Acc: 0.3229 | Test Acc: 0.2782
Epoch 39/60 | Train Acc: 0.3257 | Test Acc: 0.2782
Epoch 40/60 | Train Acc: 0.3257 | Test Acc: 0.2695
Epoch 41/60 | Train Acc: 0.3270 | Test Acc: 0.2705
Epoch 42/60 | Train Acc: 0.3375 | Test Acc: 0.2882
Epoch 43/60 | Train Acc: 0.3448 | Test Acc: 0.2832
Epoch 44/60 | Train Acc: 0.3398 | Test Acc: 0.2836
Epoch 45/60 | Train Acc: 0.3382 | Test Acc: 0.2850
Epoch 46/60 | Train Acc: 0.3423 | Test Acc: 0.2714
Epoch 47/60 | Train Acc: 0.3367 | Test Acc: 0.2959
Epoch 48/60 | Train Acc: 0.3422 | Test Acc: 0.2891
Epoch 49/60 | Train Acc: 0.3551 | Test Acc: 0.2800
Epoch 50/60 | Train Acc: 0.3498 | Test Acc: 0.2864
Epoch 51/60 | Train Acc: 0.3528 | Test Acc: 0.2873
Epoch 52/60 | Train Acc: 0.3623 | Test Acc: 0.2727
Epoch 53/60 | Train Acc: 0.3592 | Test Acc: 0.2782
Epoch 54/60 | Train Acc: 0.3651 | Test Acc: 0.2923
Epoch 55/60 | Train Acc: 0.3762 | Test Acc: 0.2723
Epoch 56/60 | Train Acc: 0.3733 | Test Acc: 0.2900
Epoch 57/60 | Train Acc: 0.3720 | Test Acc: 0.3009
Epoch 58/60 | Train Acc: 0.3724 | Test Acc: 0.2850
Epoch 59/60 | Train Acc: 0.3836 | Test Acc: 0.2900
Epoch 60/60 | Train Acc: 0.3902 | Test Acc: 0.2832
BEST TEST ACC: 0.3009
