
===================================
PATCH SIZE: 64 | AGG: max
===================================
Training:  52%|████████████████████████████████▌                              | 31/60 [02:53<02:43,  5.62s/it]
Epoch 1/60 | Train Acc: 0.0968 | Test Acc: 0.1041
Epoch 2/60 | Train Acc: 0.1308 | Test Acc: 0.1373
Epoch 3/60 | Train Acc: 0.1422 | Test Acc: 0.1477
Epoch 4/60 | Train Acc: 0.1666 | Test Acc: 0.1614
Epoch 5/60 | Train Acc: 0.1824 | Test Acc: 0.1768
Epoch 6/60 | Train Acc: 0.1918 | Test Acc: 0.1682
Epoch 7/60 | Train Acc: 0.2025 | Test Acc: 0.1968
Epoch 8/60 | Train Acc: 0.2139 | Test Acc: 0.1991
Epoch 9/60 | Train Acc: 0.2152 | Test Acc: 0.2050
Epoch 10/60 | Train Acc: 0.2189 | Test Acc: 0.1936
Epoch 11/60 | Train Acc: 0.2257 | Test Acc: 0.2114
Epoch 12/60 | Train Acc: 0.2209 | Test Acc: 0.2182
Epoch 13/60 | Train Acc: 0.2317 | Test Acc: 0.2145
Epoch 14/60 | Train Acc: 0.2330 | Test Acc: 0.2068
Epoch 15/60 | Train Acc: 0.2370 | Test Acc: 0.2223
Epoch 16/60 | Train Acc: 0.2474 | Test Acc: 0.2255
Epoch 17/60 | Train Acc: 0.2516 | Test Acc: 0.2286
Epoch 18/60 | Train Acc: 0.2572 | Test Acc: 0.2268
Epoch 19/60 | Train Acc: 0.2599 | Test Acc: 0.2236
Epoch 20/60 | Train Acc: 0.2591 | Test Acc: 0.2205
Epoch 21/60 | Train Acc: 0.2625 | Test Acc: 0.2305
Epoch 22/60 | Train Acc: 0.2718 | Test Acc: 0.2295
Epoch 23/60 | Train Acc: 0.2772 | Test Acc: 0.2341
Epoch 24/60 | Train Acc: 0.2692 | Test Acc: 0.2255
Epoch 25/60 | Train Acc: 0.2798 | Test Acc: 0.2291
Epoch 26/60 | Train Acc: 0.2863 | Test Acc: 0.2405
Epoch 27/60 | Train Acc: 0.2900 | Test Acc: 0.2332
Epoch 28/60 | Train Acc: 0.2916 | Test Acc: 0.2345
Epoch 29/60 | Train Acc: 0.3010 | Test Acc: 0.2291
Epoch 30/60 | Train Acc: 0.2894 | Test Acc: 0.2218
Epoch 31/60 | Train Acc: 0.3072 | Test Acc: 0.2200
Epoch 32/60 | Train Acc: 0.2984 | Test Acc: 0.2377
Epoch 33/60 | Train Acc: 0.3137 | Test Acc: 0.2505
Epoch 34/60 | Train Acc: 0.3161 | Test Acc: 0.2309
Epoch 35/60 | Train Acc: 0.3029 | Test Acc: 0.2400
Epoch 36/60 | Train Acc: 0.3148 | Test Acc: 0.2336
Epoch 37/60 | Train Acc: 0.3240 | Test Acc: 0.2273
Epoch 38/60 | Train Acc: 0.3094 | Test Acc: 0.2264
Epoch 39/60 | Train Acc: 0.3197 | Test Acc: 0.2318
Epoch 40/60 | Train Acc: 0.3376 | Test Acc: 0.2350
Epoch 41/60 | Train Acc: 0.3417 | Test Acc: 0.2295
Epoch 42/60 | Train Acc: 0.3441 | Test Acc: 0.2423
Epoch 43/60 | Train Acc: 0.3423 | Test Acc: 0.2386
Epoch 44/60 | Train Acc: 0.3309 | Test Acc: 0.2236
Epoch 45/60 | Train Acc: 0.3463 | Test Acc: 0.2264
Epoch 46/60 | Train Acc: 0.3489 | Test Acc: 0.2332
Epoch 47/60 | Train Acc: 0.3477 | Test Acc: 0.2241
Epoch 48/60 | Train Acc: 0.3655 | Test Acc: 0.2191
Epoch 49/60 | Train Acc: 0.3563 | Test Acc: 0.2164
Epoch 50/60 | Train Acc: 0.3698 | Test Acc: 0.2405
Epoch 51/60 | Train Acc: 0.3685 | Test Acc: 0.2314
Epoch 52/60 | Train Acc: 0.3845 | Test Acc: 0.2309
Epoch 53/60 | Train Acc: 0.3895 | Test Acc: 0.2273
Epoch 54/60 | Train Acc: 0.3821 | Test Acc: 0.2350
Epoch 55/60 | Train Acc: 0.4053 | Test Acc: 0.2291
Epoch 56/60 | Train Acc: 0.3977 | Test Acc: 0.2377
Epoch 57/60 | Train Acc: 0.3902 | Test Acc: 0.2373
Epoch 58/60 | Train Acc: 0.4020 | Test Acc: 0.2368
Epoch 59/60 | Train Acc: 0.3953 | Test Acc: 0.2327
Epoch 60/60 | Train Acc: 0.3957 | Test Acc: 0.2350
BEST TEST ACC: 0.2505
