
===================================
PATCH SIZE: 4 | AGG: mean
===================================
Training:  52%|████████████████████████████████▌                              | 31/60 [02:54<02:43,  5.65s/it]
Epoch 1/60 | Train Acc: 0.1028 | Test Acc: 0.1132
Epoch 2/60 | Train Acc: 0.1448 | Test Acc: 0.1541
Epoch 3/60 | Train Acc: 0.1829 | Test Acc: 0.1664
Epoch 4/60 | Train Acc: 0.1746 | Test Acc: 0.1714
Epoch 5/60 | Train Acc: 0.1841 | Test Acc: 0.1682
Epoch 6/60 | Train Acc: 0.1876 | Test Acc: 0.1909
Epoch 7/60 | Train Acc: 0.2010 | Test Acc: 0.2145
Epoch 8/60 | Train Acc: 0.2063 | Test Acc: 0.2114
Epoch 9/60 | Train Acc: 0.2193 | Test Acc: 0.2236
Epoch 10/60 | Train Acc: 0.2243 | Test Acc: 0.2277
Epoch 11/60 | Train Acc: 0.2256 | Test Acc: 0.2327
Epoch 12/60 | Train Acc: 0.2260 | Test Acc: 0.2214
Epoch 13/60 | Train Acc: 0.2240 | Test Acc: 0.2327
Epoch 14/60 | Train Acc: 0.2276 | Test Acc: 0.2232
Epoch 15/60 | Train Acc: 0.2272 | Test Acc: 0.2450
Epoch 16/60 | Train Acc: 0.2436 | Test Acc: 0.2332
Epoch 17/60 | Train Acc: 0.2360 | Test Acc: 0.2405
Epoch 18/60 | Train Acc: 0.2413 | Test Acc: 0.2450
Epoch 19/60 | Train Acc: 0.2408 | Test Acc: 0.2395
Epoch 20/60 | Train Acc: 0.2480 | Test Acc: 0.2486
Epoch 21/60 | Train Acc: 0.2441 | Test Acc: 0.2495
Epoch 22/60 | Train Acc: 0.2444 | Test Acc: 0.2555
Epoch 23/60 | Train Acc: 0.2485 | Test Acc: 0.2555
Epoch 24/60 | Train Acc: 0.2539 | Test Acc: 0.2473
Epoch 25/60 | Train Acc: 0.2500 | Test Acc: 0.2455
Epoch 26/60 | Train Acc: 0.2536 | Test Acc: 0.2495
Epoch 27/60 | Train Acc: 0.2523 | Test Acc: 0.2518
Epoch 28/60 | Train Acc: 0.2547 | Test Acc: 0.2536
Epoch 29/60 | Train Acc: 0.2586 | Test Acc: 0.2536
Epoch 30/60 | Train Acc: 0.2579 | Test Acc: 0.2586
Epoch 31/60 | Train Acc: 0.2587 | Test Acc: 0.2568
Epoch 32/60 | Train Acc: 0.2620 | Test Acc: 0.2505
Epoch 33/60 | Train Acc: 0.2659 | Test Acc: 0.2577
Epoch 34/60 | Train Acc: 0.2674 | Test Acc: 0.2605
Epoch 35/60 | Train Acc: 0.2661 | Test Acc: 0.2600
Epoch 36/60 | Train Acc: 0.2685 | Test Acc: 0.2636
Epoch 37/60 | Train Acc: 0.2669 | Test Acc: 0.2627
Epoch 38/60 | Train Acc: 0.2662 | Test Acc: 0.2582
Epoch 39/60 | Train Acc: 0.2716 | Test Acc: 0.2600
Epoch 40/60 | Train Acc: 0.2710 | Test Acc: 0.2632
Epoch 41/60 | Train Acc: 0.2684 | Test Acc: 0.2668
Epoch 42/60 | Train Acc: 0.2753 | Test Acc: 0.2718
Epoch 43/60 | Train Acc: 0.2767 | Test Acc: 0.2573
Epoch 44/60 | Train Acc: 0.2747 | Test Acc: 0.2773
Epoch 45/60 | Train Acc: 0.2802 | Test Acc: 0.2800
Epoch 46/60 | Train Acc: 0.2805 | Test Acc: 0.2705
Epoch 47/60 | Train Acc: 0.2790 | Test Acc: 0.2818
Epoch 48/60 | Train Acc: 0.2814 | Test Acc: 0.2759
Epoch 49/60 | Train Acc: 0.2832 | Test Acc: 0.2814
Epoch 50/60 | Train Acc: 0.2845 | Test Acc: 0.2777
Epoch 51/60 | Train Acc: 0.2852 | Test Acc: 0.2814
Epoch 52/60 | Train Acc: 0.2892 | Test Acc: 0.2750
Epoch 53/60 | Train Acc: 0.2884 | Test Acc: 0.2782
Epoch 54/60 | Train Acc: 0.2889 | Test Acc: 0.2818
Epoch 55/60 | Train Acc: 0.2877 | Test Acc: 0.2795
Epoch 56/60 | Train Acc: 0.2922 | Test Acc: 0.2755
Epoch 57/60 | Train Acc: 0.2883 | Test Acc: 0.2868
Epoch 58/60 | Train Acc: 0.2900 | Test Acc: 0.2755
Epoch 59/60 | Train Acc: 0.2883 | Test Acc: 0.2782
Epoch 60/60 | Train Acc: 0.2901 | Test Acc: 0.2909
BEST TEST ACC: 0.2909
