
===================================
PATCH SIZE: 4 | AGG: max
===================================
Training:  52%|████████████████████████████████▌                              | 31/60 [02:55<02:42,  5.60s/it]
Epoch 1/60 | Train Acc: 0.1024 | Test Acc: 0.0995
Epoch 2/60 | Train Acc: 0.1225 | Test Acc: 0.1200
Epoch 3/60 | Train Acc: 0.1176 | Test Acc: 0.1236
Epoch 4/60 | Train Acc: 0.1447 | Test Acc: 0.1427
Epoch 5/60 | Train Acc: 0.1483 | Test Acc: 0.1468
Epoch 6/60 | Train Acc: 0.1595 | Test Acc: 0.1782
Epoch 7/60 | Train Acc: 0.1728 | Test Acc: 0.1755
Epoch 8/60 | Train Acc: 0.1808 | Test Acc: 0.1736
Epoch 9/60 | Train Acc: 0.1832 | Test Acc: 0.1850
Epoch 10/60 | Train Acc: 0.1851 | Test Acc: 0.1855
Epoch 11/60 | Train Acc: 0.1911 | Test Acc: 0.1782
Epoch 12/60 | Train Acc: 0.1921 | Test Acc: 0.1859
Epoch 13/60 | Train Acc: 0.1906 | Test Acc: 0.1850
Epoch 14/60 | Train Acc: 0.1977 | Test Acc: 0.1918
Epoch 15/60 | Train Acc: 0.1962 | Test Acc: 0.1973
Epoch 16/60 | Train Acc: 0.2013 | Test Acc: 0.1891
Epoch 17/60 | Train Acc: 0.1976 | Test Acc: 0.1873
Epoch 18/60 | Train Acc: 0.2001 | Test Acc: 0.1845
Epoch 19/60 | Train Acc: 0.1990 | Test Acc: 0.1995
Epoch 20/60 | Train Acc: 0.2007 | Test Acc: 0.2050
Epoch 21/60 | Train Acc: 0.2080 | Test Acc: 0.1959
Epoch 22/60 | Train Acc: 0.2063 | Test Acc: 0.2036
Epoch 23/60 | Train Acc: 0.2066 | Test Acc: 0.2032
Epoch 24/60 | Train Acc: 0.2093 | Test Acc: 0.2045
Epoch 25/60 | Train Acc: 0.2078 | Test Acc: 0.2114
Epoch 26/60 | Train Acc: 0.2080 | Test Acc: 0.2009
Epoch 27/60 | Train Acc: 0.2131 | Test Acc: 0.1991
Epoch 28/60 | Train Acc: 0.2101 | Test Acc: 0.2073
Epoch 29/60 | Train Acc: 0.2036 | Test Acc: 0.2068
Epoch 30/60 | Train Acc: 0.2106 | Test Acc: 0.2091
Epoch 31/60 | Train Acc: 0.2126 | Test Acc: 0.2105
Epoch 32/60 | Train Acc: 0.2102 | Test Acc: 0.2155
Epoch 33/60 | Train Acc: 0.2128 | Test Acc: 0.2023
Epoch 34/60 | Train Acc: 0.2182 | Test Acc: 0.2082
Epoch 35/60 | Train Acc: 0.2145 | Test Acc: 0.2200
Epoch 36/60 | Train Acc: 0.2160 | Test Acc: 0.1991
Epoch 37/60 | Train Acc: 0.2063 | Test Acc: 0.2159
Epoch 38/60 | Train Acc: 0.2170 | Test Acc: 0.2036
Epoch 39/60 | Train Acc: 0.2094 | Test Acc: 0.2136
Epoch 40/60 | Train Acc: 0.2132 | Test Acc: 0.2118
Epoch 41/60 | Train Acc: 0.2098 | Test Acc: 0.2059
Epoch 42/60 | Train Acc: 0.2176 | Test Acc: 0.2232
Epoch 43/60 | Train Acc: 0.2154 | Test Acc: 0.2195
Epoch 44/60 | Train Acc: 0.2176 | Test Acc: 0.2191
Epoch 45/60 | Train Acc: 0.2200 | Test Acc: 0.2105
Epoch 46/60 | Train Acc: 0.2185 | Test Acc: 0.2200
Epoch 47/60 | Train Acc: 0.2210 | Test Acc: 0.2109
Epoch 48/60 | Train Acc: 0.2200 | Test Acc: 0.2214
Epoch 49/60 | Train Acc: 0.2189 | Test Acc: 0.2205
Epoch 50/60 | Train Acc: 0.2160 | Test Acc: 0.2255
Epoch 51/60 | Train Acc: 0.2208 | Test Acc: 0.2177
Epoch 52/60 | Train Acc: 0.2183 | Test Acc: 0.2200
Epoch 53/60 | Train Acc: 0.2187 | Test Acc: 0.2223
Epoch 54/60 | Train Acc: 0.2193 | Test Acc: 0.2236
Epoch 55/60 | Train Acc: 0.2208 | Test Acc: 0.2214
Epoch 56/60 | Train Acc: 0.2231 | Test Acc: 0.2218
Epoch 57/60 | Train Acc: 0.2214 | Test Acc: 0.2191
Epoch 58/60 | Train Acc: 0.2234 | Test Acc: 0.2205
Epoch 59/60 | Train Acc: 0.2218 | Test Acc: 0.2177
Epoch 60/60 | Train Acc: 0.2229 | Test Acc: 0.2177
BEST TEST ACC: 0.2255
