
===================================
PATCH SIZE: 8 | AGG: mean
===================================
Training:  52%|████████████████████████████████▌                              | 31/60 [02:54<02:43,  5.62s/it]
Epoch 1/60 | Train Acc: 0.1007 | Test Acc: 0.1459
Epoch 2/60 | Train Acc: 0.1414 | Test Acc: 0.1495
Epoch 3/60 | Train Acc: 0.1646 | Test Acc: 0.1555
Epoch 4/60 | Train Acc: 0.1703 | Test Acc: 0.1886
Epoch 5/60 | Train Acc: 0.1882 | Test Acc: 0.1850
Epoch 6/60 | Train Acc: 0.1944 | Test Acc: 0.2032
Epoch 7/60 | Train Acc: 0.2036 | Test Acc: 0.2159
Epoch 8/60 | Train Acc: 0.2177 | Test Acc: 0.2000
Epoch 9/60 | Train Acc: 0.2166 | Test Acc: 0.2282
Epoch 10/60 | Train Acc: 0.2246 | Test Acc: 0.2245
Epoch 11/60 | Train Acc: 0.2259 | Test Acc: 0.2314
Epoch 12/60 | Train Acc: 0.2325 | Test Acc: 0.2455
Epoch 13/60 | Train Acc: 0.2360 | Test Acc: 0.2477
Epoch 14/60 | Train Acc: 0.2423 | Test Acc: 0.2568
Epoch 15/60 | Train Acc: 0.2403 | Test Acc: 0.2468
Epoch 16/60 | Train Acc: 0.2516 | Test Acc: 0.2386
Epoch 17/60 | Train Acc: 0.2505 | Test Acc: 0.2559
Epoch 18/60 | Train Acc: 0.2567 | Test Acc: 0.2486
Epoch 19/60 | Train Acc: 0.2580 | Test Acc: 0.2636
Epoch 20/60 | Train Acc: 0.2678 | Test Acc: 0.2555
Epoch 21/60 | Train Acc: 0.2654 | Test Acc: 0.2641
Epoch 22/60 | Train Acc: 0.2634 | Test Acc: 0.2618
Epoch 23/60 | Train Acc: 0.2664 | Test Acc: 0.2668
Epoch 24/60 | Train Acc: 0.2698 | Test Acc: 0.2645
Epoch 25/60 | Train Acc: 0.2744 | Test Acc: 0.2691
Epoch 26/60 | Train Acc: 0.2717 | Test Acc: 0.2723
Epoch 27/60 | Train Acc: 0.2772 | Test Acc: 0.2686
Epoch 28/60 | Train Acc: 0.2775 | Test Acc: 0.2755
Epoch 29/60 | Train Acc: 0.2759 | Test Acc: 0.2718
Epoch 30/60 | Train Acc: 0.2772 | Test Acc: 0.2736
Epoch 31/60 | Train Acc: 0.2830 | Test Acc: 0.2764
Epoch 32/60 | Train Acc: 0.2817 | Test Acc: 0.2709
Epoch 33/60 | Train Acc: 0.2834 | Test Acc: 0.2741
Epoch 34/60 | Train Acc: 0.2821 | Test Acc: 0.2750
Epoch 35/60 | Train Acc: 0.2887 | Test Acc: 0.2864
Epoch 36/60 | Train Acc: 0.2825 | Test Acc: 0.2836
Epoch 37/60 | Train Acc: 0.2907 | Test Acc: 0.2909
Epoch 38/60 | Train Acc: 0.2847 | Test Acc: 0.2786
Epoch 39/60 | Train Acc: 0.2857 | Test Acc: 0.2664
Epoch 40/60 | Train Acc: 0.2856 | Test Acc: 0.2768
Epoch 41/60 | Train Acc: 0.2866 | Test Acc: 0.2923
Epoch 42/60 | Train Acc: 0.2900 | Test Acc: 0.2864
Epoch 43/60 | Train Acc: 0.2910 | Test Acc: 0.2845
Epoch 44/60 | Train Acc: 0.2963 | Test Acc: 0.2941
Epoch 45/60 | Train Acc: 0.2891 | Test Acc: 0.2864
Epoch 46/60 | Train Acc: 0.2975 | Test Acc: 0.2914
Epoch 47/60 | Train Acc: 0.2948 | Test Acc: 0.2973
Epoch 48/60 | Train Acc: 0.2945 | Test Acc: 0.2882
Epoch 49/60 | Train Acc: 0.2940 | Test Acc: 0.2836
Epoch 50/60 | Train Acc: 0.2978 | Test Acc: 0.2877
Epoch 51/60 | Train Acc: 0.2971 | Test Acc: 0.2723
Epoch 52/60 | Train Acc: 0.2908 | Test Acc: 0.2955
Epoch 53/60 | Train Acc: 0.2991 | Test Acc: 0.2936
Epoch 54/60 | Train Acc: 0.3028 | Test Acc: 0.3005
Epoch 55/60 | Train Acc: 0.3068 | Test Acc: 0.2905
Epoch 56/60 | Train Acc: 0.3017 | Test Acc: 0.3005
Epoch 57/60 | Train Acc: 0.3059 | Test Acc: 0.2977
Epoch 58/60 | Train Acc: 0.2966 | Test Acc: 0.3009
Epoch 59/60 | Train Acc: 0.3055 | Test Acc: 0.2805
Epoch 60/60 | Train Acc: 0.2961 | Test Acc: 0.2800
BEST TEST ACC: 0.3009
