
===================================
PATCH SIZE: 8 | AGG: max
===================================
Training:  52%|████████████████████████████████▌                              | 31/60 [02:54<02:43,  5.63s/it]
Epoch 1/60 | Train Acc: 0.1009 | Test Acc: 0.1277
Epoch 2/60 | Train Acc: 0.1407 | Test Acc: 0.1477
Epoch 3/60 | Train Acc: 0.1615 | Test Acc: 0.1582
Epoch 4/60 | Train Acc: 0.1761 | Test Acc: 0.1632
Epoch 5/60 | Train Acc: 0.1831 | Test Acc: 0.1759
Epoch 6/60 | Train Acc: 0.1908 | Test Acc: 0.1750
Epoch 7/60 | Train Acc: 0.1949 | Test Acc: 0.1805
Epoch 8/60 | Train Acc: 0.1929 | Test Acc: 0.1800
Epoch 9/60 | Train Acc: 0.1944 | Test Acc: 0.1773
Epoch 10/60 | Train Acc: 0.1913 | Test Acc: 0.1864
Epoch 11/60 | Train Acc: 0.1941 | Test Acc: 0.1750
Epoch 12/60 | Train Acc: 0.1987 | Test Acc: 0.1823
Epoch 13/60 | Train Acc: 0.2005 | Test Acc: 0.1955
Epoch 14/60 | Train Acc: 0.1986 | Test Acc: 0.1814
Epoch 15/60 | Train Acc: 0.2031 | Test Acc: 0.1891
Epoch 16/60 | Train Acc: 0.2049 | Test Acc: 0.1841
Epoch 17/60 | Train Acc: 0.2025 | Test Acc: 0.1968
Epoch 18/60 | Train Acc: 0.2020 | Test Acc: 0.1877
Epoch 19/60 | Train Acc: 0.2018 | Test Acc: 0.1882
Epoch 20/60 | Train Acc: 0.2071 | Test Acc: 0.1918
Epoch 21/60 | Train Acc: 0.2030 | Test Acc: 0.1945
Epoch 22/60 | Train Acc: 0.2046 | Test Acc: 0.1964
Epoch 23/60 | Train Acc: 0.2060 | Test Acc: 0.1882
Epoch 24/60 | Train Acc: 0.2007 | Test Acc: 0.1941
Epoch 25/60 | Train Acc: 0.2076 | Test Acc: 0.1982
Epoch 26/60 | Train Acc: 0.2093 | Test Acc: 0.1945
Epoch 27/60 | Train Acc: 0.2097 | Test Acc: 0.1964
Epoch 28/60 | Train Acc: 0.2078 | Test Acc: 0.2118
Epoch 29/60 | Train Acc: 0.2079 | Test Acc: 0.1986
Epoch 30/60 | Train Acc: 0.2089 | Test Acc: 0.2068
Epoch 31/60 | Train Acc: 0.2107 | Test Acc: 0.1973
Epoch 32/60 | Train Acc: 0.2101 | Test Acc: 0.2068
Epoch 33/60 | Train Acc: 0.2116 | Test Acc: 0.2005
Epoch 34/60 | Train Acc: 0.2125 | Test Acc: 0.2136
Epoch 35/60 | Train Acc: 0.2191 | Test Acc: 0.1968
Epoch 36/60 | Train Acc: 0.2177 | Test Acc: 0.2118
Epoch 37/60 | Train Acc: 0.2151 | Test Acc: 0.2045
Epoch 38/60 | Train Acc: 0.2145 | Test Acc: 0.2086
Epoch 39/60 | Train Acc: 0.2222 | Test Acc: 0.1927
Epoch 40/60 | Train Acc: 0.2215 | Test Acc: 0.2000
Epoch 41/60 | Train Acc: 0.2178 | Test Acc: 0.2086
Epoch 42/60 | Train Acc: 0.2209 | Test Acc: 0.2100
Epoch 43/60 | Train Acc: 0.2239 | Test Acc: 0.2141
Epoch 44/60 | Train Acc: 0.2213 | Test Acc: 0.2177
Epoch 45/60 | Train Acc: 0.2263 | Test Acc: 0.2164
Epoch 46/60 | Train Acc: 0.2278 | Test Acc: 0.2155
Epoch 47/60 | Train Acc: 0.2244 | Test Acc: 0.2150
Epoch 48/60 | Train Acc: 0.2253 | Test Acc: 0.2209
Epoch 49/60 | Train Acc: 0.2218 | Test Acc: 0.2277
Epoch 50/60 | Train Acc: 0.2302 | Test Acc: 0.2186
Epoch 51/60 | Train Acc: 0.2274 | Test Acc: 0.2164
Epoch 52/60 | Train Acc: 0.2341 | Test Acc: 0.2168
Epoch 53/60 | Train Acc: 0.2290 | Test Acc: 0.2191
Epoch 54/60 | Train Acc: 0.2311 | Test Acc: 0.2191
Epoch 55/60 | Train Acc: 0.2338 | Test Acc: 0.2305
Epoch 56/60 | Train Acc: 0.2315 | Test Acc: 0.2241
Epoch 57/60 | Train Acc: 0.2302 | Test Acc: 0.2323
Epoch 58/60 | Train Acc: 0.2386 | Test Acc: 0.2059
Epoch 59/60 | Train Acc: 0.2362 | Test Acc: 0.2100
Epoch 60/60 | Train Acc: 0.2353 | Test Acc: 0.2141
BEST TEST ACC: 0.2323
