
===================================
PATCH SIZE: 16 | AGG: mean
===================================
Training:  52%|████████████████████████████████▌                              | 31/60 [03:00<02:42,  5.61s/it]
Epoch 1/60 | Train Acc: 0.1014 | Test Acc: 0.1386
Epoch 2/60 | Train Acc: 0.1436 | Test Acc: 0.1468
Epoch 3/60 | Train Acc: 0.1647 | Test Acc: 0.1555
Epoch 4/60 | Train Acc: 0.1743 | Test Acc: 0.1614
Epoch 5/60 | Train Acc: 0.1760 | Test Acc: 0.1868
Epoch 6/60 | Train Acc: 0.2002 | Test Acc: 0.2073
Epoch 7/60 | Train Acc: 0.2082 | Test Acc: 0.2127
Epoch 8/60 | Train Acc: 0.2118 | Test Acc: 0.2023
Epoch 9/60 | Train Acc: 0.2163 | Test Acc: 0.2091
Epoch 10/60 | Train Acc: 0.2114 | Test Acc: 0.2091
Epoch 11/60 | Train Acc: 0.2248 | Test Acc: 0.2368
Epoch 12/60 | Train Acc: 0.2217 | Test Acc: 0.2264
Epoch 13/60 | Train Acc: 0.2276 | Test Acc: 0.2318
Epoch 14/60 | Train Acc: 0.2210 | Test Acc: 0.2286
Epoch 15/60 | Train Acc: 0.2266 | Test Acc: 0.2341
Epoch 16/60 | Train Acc: 0.2300 | Test Acc: 0.2405
Epoch 17/60 | Train Acc: 0.2263 | Test Acc: 0.2355
Epoch 18/60 | Train Acc: 0.2391 | Test Acc: 0.2459
Epoch 19/60 | Train Acc: 0.2363 | Test Acc: 0.2486
Epoch 20/60 | Train Acc: 0.2428 | Test Acc: 0.2500
Epoch 21/60 | Train Acc: 0.2403 | Test Acc: 0.2427
Epoch 22/60 | Train Acc: 0.2483 | Test Acc: 0.2395
Epoch 23/60 | Train Acc: 0.2498 | Test Acc: 0.2564
Epoch 24/60 | Train Acc: 0.2505 | Test Acc: 0.2532
Epoch 25/60 | Train Acc: 0.2564 | Test Acc: 0.2609
Epoch 26/60 | Train Acc: 0.2592 | Test Acc: 0.2636
Epoch 27/60 | Train Acc: 0.2557 | Test Acc: 0.2700
Epoch 28/60 | Train Acc: 0.2524 | Test Acc: 0.2595
Epoch 29/60 | Train Acc: 0.2591 | Test Acc: 0.2714
Epoch 30/60 | Train Acc: 0.2698 | Test Acc: 0.2677
Epoch 31/60 | Train Acc: 0.2656 | Test Acc: 0.2709
Epoch 32/60 | Train Acc: 0.2715 | Test Acc: 0.2791
Epoch 33/60 | Train Acc: 0.2713 | Test Acc: 0.2695
Epoch 34/60 | Train Acc: 0.2711 | Test Acc: 0.2691
Epoch 35/60 | Train Acc: 0.2756 | Test Acc: 0.2745
Epoch 36/60 | Train Acc: 0.2755 | Test Acc: 0.2732
Epoch 37/60 | Train Acc: 0.2776 | Test Acc: 0.2741
Epoch 38/60 | Train Acc: 0.2707 | Test Acc: 0.2764
Epoch 39/60 | Train Acc: 0.2857 | Test Acc: 0.2686
Epoch 40/60 | Train Acc: 0.2801 | Test Acc: 0.2809
Epoch 41/60 | Train Acc: 0.2892 | Test Acc: 0.2759
Epoch 42/60 | Train Acc: 0.2844 | Test Acc: 0.2814
Epoch 43/60 | Train Acc: 0.2847 | Test Acc: 0.2768
Epoch 44/60 | Train Acc: 0.2920 | Test Acc: 0.2777
Epoch 45/60 | Train Acc: 0.2811 | Test Acc: 0.2845
Epoch 46/60 | Train Acc: 0.2856 | Test Acc: 0.2891
Epoch 47/60 | Train Acc: 0.2937 | Test Acc: 0.2868
Epoch 48/60 | Train Acc: 0.2948 | Test Acc: 0.2927
Epoch 49/60 | Train Acc: 0.2951 | Test Acc: 0.2800
Epoch 50/60 | Train Acc: 0.2926 | Test Acc: 0.2832
Epoch 51/60 | Train Acc: 0.2997 | Test Acc: 0.2950
Epoch 52/60 | Train Acc: 0.2991 | Test Acc: 0.2868
Epoch 53/60 | Train Acc: 0.2932 | Test Acc: 0.2805
Epoch 54/60 | Train Acc: 0.2910 | Test Acc: 0.2873
Epoch 55/60 | Train Acc: 0.2945 | Test Acc: 0.2873
Epoch 56/60 | Train Acc: 0.2933 | Test Acc: 0.2873
Epoch 57/60 | Train Acc: 0.2898 | Test Acc: 0.2864
Epoch 58/60 | Train Acc: 0.2933 | Test Acc: 0.3005
Epoch 59/60 | Train Acc: 0.3018 | Test Acc: 0.3018
Epoch 60/60 | Train Acc: 0.3034 | Test Acc: 0.2950
BEST TEST ACC: 0.3018
