
===================================
PATCH SIZE: 64 | AGG: mean
===================================
Training:  52%|████████████████████████████████▌                              | 31/60 [02:54<02:43,  5.65s/it]
Epoch 1/60 | Train Acc: 0.0990 | Test Acc: 0.1045
Epoch 2/60 | Train Acc: 0.1206 | Test Acc: 0.1632
Epoch 3/60 | Train Acc: 0.1556 | Test Acc: 0.1614
Epoch 4/60 | Train Acc: 0.1700 | Test Acc: 0.1686
Epoch 5/60 | Train Acc: 0.1806 | Test Acc: 0.1882
Epoch 6/60 | Train Acc: 0.1962 | Test Acc: 0.2050
Epoch 7/60 | Train Acc: 0.2057 | Test Acc: 0.1991
Epoch 8/60 | Train Acc: 0.2245 | Test Acc: 0.2105
Epoch 9/60 | Train Acc: 0.2391 | Test Acc: 0.2427
Epoch 10/60 | Train Acc: 0.2368 | Test Acc: 0.2218
Epoch 11/60 | Train Acc: 0.2354 | Test Acc: 0.2273
Epoch 12/60 | Train Acc: 0.2438 | Test Acc: 0.2468
Epoch 13/60 | Train Acc: 0.2477 | Test Acc: 0.2382
Epoch 14/60 | Train Acc: 0.2489 | Test Acc: 0.2464
Epoch 15/60 | Train Acc: 0.2540 | Test Acc: 0.2468
Epoch 16/60 | Train Acc: 0.2582 | Test Acc: 0.2409
Epoch 17/60 | Train Acc: 0.2557 | Test Acc: 0.2532
Epoch 18/60 | Train Acc: 0.2640 | Test Acc: 0.2432
Epoch 19/60 | Train Acc: 0.2583 | Test Acc: 0.2459
Epoch 20/60 | Train Acc: 0.2575 | Test Acc: 0.2450
Epoch 21/60 | Train Acc: 0.2728 | Test Acc: 0.2532
Epoch 22/60 | Train Acc: 0.2761 | Test Acc: 0.2527
Epoch 23/60 | Train Acc: 0.2693 | Test Acc: 0.2555
Epoch 24/60 | Train Acc: 0.2768 | Test Acc: 0.2368
Epoch 25/60 | Train Acc: 0.2789 | Test Acc: 0.2591
Epoch 26/60 | Train Acc: 0.2711 | Test Acc: 0.2582
Epoch 27/60 | Train Acc: 0.2822 | Test Acc: 0.2645
Epoch 28/60 | Train Acc: 0.2901 | Test Acc: 0.2709
Epoch 29/60 | Train Acc: 0.2872 | Test Acc: 0.2700
Epoch 30/60 | Train Acc: 0.2887 | Test Acc: 0.2586
Epoch 31/60 | Train Acc: 0.2771 | Test Acc: 0.2577
Epoch 32/60 | Train Acc: 0.2809 | Test Acc: 0.2700
Epoch 33/60 | Train Acc: 0.2885 | Test Acc: 0.2641
Epoch 34/60 | Train Acc: 0.2956 | Test Acc: 0.2745
Epoch 35/60 | Train Acc: 0.2970 | Test Acc: 0.2814
Epoch 36/60 | Train Acc: 0.2995 | Test Acc: 0.2723
Epoch 37/60 | Train Acc: 0.2972 | Test Acc: 0.2691
Epoch 38/60 | Train Acc: 0.3063 | Test Acc: 0.2723
Epoch 39/60 | Train Acc: 0.3120 | Test Acc: 0.2764
Epoch 40/60 | Train Acc: 0.3074 | Test Acc: 0.2650
Epoch 41/60 | Train Acc: 0.3048 | Test Acc: 0.2605
Epoch 42/60 | Train Acc: 0.3029 | Test Acc: 0.2664
Epoch 43/60 | Train Acc: 0.3072 | Test Acc: 0.2732
Epoch 44/60 | Train Acc: 0.3185 | Test Acc: 0.2700
Epoch 45/60 | Train Acc: 0.3144 | Test Acc: 0.2727
Epoch 46/60 | Train Acc: 0.3213 | Test Acc: 0.2736
Epoch 47/60 | Train Acc: 0.3238 | Test Acc: 0.2864
Epoch 48/60 | Train Acc: 0.3284 | Test Acc: 0.2723
Epoch 49/60 | Train Acc: 0.3246 | Test Acc: 0.2736
Epoch 50/60 | Train Acc: 0.3275 | Test Acc: 0.2709
Epoch 51/60 | Train Acc: 0.3208 | Test Acc: 0.2559
Epoch 52/60 | Train Acc: 0.3172 | Test Acc: 0.2677
Epoch 53/60 | Train Acc: 0.3223 | Test Acc: 0.2755
Epoch 54/60 | Train Acc: 0.3245 | Test Acc: 0.2673
Epoch 55/60 | Train Acc: 0.3302 | Test Acc: 0.2873
Epoch 56/60 | Train Acc: 0.3353 | Test Acc: 0.2777
Epoch 57/60 | Train Acc: 0.3368 | Test Acc: 0.2764
Epoch 58/60 | Train Acc: 0.3262 | Test Acc: 0.2741
Epoch 59/60 | Train Acc: 0.3339 | Test Acc: 0.2777
Epoch 60/60 | Train Acc: 0.3433 | Test Acc: 0.2700
BEST TEST ACC: 0.2873
